SpotID,Day,Month,Date,Year,Hour,Minute,Second,Status
4,Friday,6,27,2025,8,14,8,1
12,Friday,6,27,2025,9,7,11,1
1,Friday,6,27,2025,12,39,5,0
10,Friday,6,27,2025,13,9,8,1
14,Friday,6,27,2025,17,47,4,0
10,Friday,6,27,2025,7,18,4,0
8,Friday,6,27,2025,13,5,8,0
7,Friday,6,27,2025,10,0,11,1
4,Friday,6,27,2025,12,35,5,1
4,Friday,6,27,2025,19,24,13,0
6,Friday,6,27,2025,12,40,5,0
2,Friday,6,27,2025,7,22,4,0
8,Friday,6,27,2025,9,53,11,0
4,Friday,6,27,2025,10,32,15,1
2,Friday,6,27,2025,11,9,19,0
4,Friday,6,27,2025,19,3,13,0
6,Friday,6,27,2025,8,56,8,0
1,Friday,6,27,2025,8,38,8,0
11,Friday,6,27,2025,14,42,11,1
4,Friday,6,27,2025,18,44,10,0
13,Friday,6,27,2025,20,5,15,0
11,Friday,6,27,2025,10,56,15,1
5,Friday,6,27,2025,8,55,8,0
10,Friday,6,27,2025,19,51,13,0
11,Friday,6,27,2025,8,38,8,1
1,Friday,6,27,2025,16,17,19,0
3,Friday,6,27,2025,13,36,8,0
9,Friday,6,27,2025,14,59,11,1
3,Friday,6,27,2025,16,21,19,0
7,Friday,6,27,2025,18,20,10,0
12,Friday,6,27,2025,13,59,8,1
7,Friday,6,27,2025,12,23,5,1
14,Friday,6,27,2025,15,49,16,1
7,Friday,6,27,2025,13,44,8,1
5,Friday,6,27,2025,10,56,15,0
7,Friday,6,27,2025,17,35,4,0
7,Friday,6,27,2025,18,30,10,0
10,Friday,6,27,2025,8,14,8,1
13,Friday,6,27,2025,16,54,19,1
11,Friday,6,27,2025,17,39,4,0
1,Friday,6,27,2025,19,50,13,0
14,Friday,6,27,2025,7,54,4,0
9,Friday,6,27,2025,12,30,5,1
13,Friday,6,27,2025,17,52,4,0
6,Friday,6,27,2025,14,40,11,0
10,Friday,6,27,2025,19,40,13,0
14,Friday,6,27,2025,17,23,4,1
5,Friday,6,27,2025,7,0,5,0
4,Friday,6,27,2025,12,34,5,1
5,Friday,6,27,2025,12,24,5,0
8,Friday,6,27,2025,17,12,4,0
14,Friday,6,27,2025,15,11,16,1
6,Friday,6,27,2025,17,46,4,0
4,Friday,6,27,2025,19,53,13,0
2,Friday,6,27,2025,9,2,11,0
2,Friday,6,27,2025,17,35,4,0
8,Friday,6,27,2025,16,29,19,0
9,Friday,6,27,2025,11,24,19,1
3,Friday,6,27,2025,11,18,19,0
12,Friday,6,27,2025,20,7,15,1
13,Friday,6,27,2025,10,46,15,1
14,Friday,6,27,2025,7,11,4,0
9,Friday,6,27,2025,16,20,19,1
2,Friday,6,27,2025,11,30,19,0
9,Friday,6,27,2025,17,9,4,1
7,Friday,6,27,2025,13,16,8,1
5,Friday,6,27,2025,13,56,8,0
10,Friday,6,27,2025,11,28,19,1
13,Friday,6,27,2025,14,42,11,1
8,Friday,6,27,2025,15,48,16,0
1,Friday,6,27,2025,14,40,11,0
12,Friday,6,27,2025,12,9,5,1
10,Friday,6,27,2025,7,44,4,1
10,Friday,6,27,2025,19,46,13,0
2,Friday,6,27,2025,7,9,4,0
4,Friday,6,27,2025,20,44,15,1
10,Friday,6,27,2025,7,57,4,1
9,Friday,6,27,2025,10,46,15,1
11,Friday,6,27,2025,14,24,11,1
12,Friday,6,27,2025,14,14,11,1
2,Friday,6,27,2025,12,25,5,0
11,Friday,6,27,2025,13,16,8,1
1,Friday,6,27,2025,14,35,11,0
5,Friday,6,27,2025,15,42,16,0
11,Friday,6,27,2025,18,42,10,0
13,Friday,6,27,2025,11,16,19,1
12,Friday,6,27,2025,11,58,19,1
6,Friday,6,27,2025,17,36,4,0
13,Friday,6,27,2025,13,31,8,1
4,Friday,6,27,2025,8,44,8,1
6,Friday,6,27,2025,20,32,15,0
4,Friday,6,27,2025,15,57,16,0
7,Friday,6,27,2025,17,6,4,0
3,Friday,6,27,2025,10,15,15,0
8,Friday,6,27,2025,15,13,16,0
12,Friday,6,27,2025,15,13,16,1
3,Friday,6,27,2025,17,10,4,0
5,Friday,6,27,2025,18,0,4,0
1,Friday,6,27,2025,8,8,8,0
7,Friday,6,27,2025,19,40,13,0
4,Friday,6,27,2025,17,40,4,0
10,Friday,6,27,2025,20,53,15,0
4,Friday,6,27,2025,11,49,19,1
4,Friday,6,27,2025,8,35,8,1
1,Friday,6,27,2025,12,20,5,0
10,Friday,6,27,2025,16,20,19,1
12,Friday,6,27,2025,7,35,4,1
2,Friday,6,27,2025,9,36,11,0
6,Friday,6,27,2025,12,23,5,0
3,Friday,6,27,2025,9,59,11,0
1,Friday,6,27,2025,7,39,4,0
3,Friday,6,27,2025,10,49,15,0
13,Friday,6,27,2025,10,54,15,1
1,Friday,6,27,2025,12,7,5,0
4,Friday,6,27,2025,12,37,5,1
5,Friday,6,27,2025,20,56,15,0
3,Friday,6,27,2025,19,7,13,0
5,Friday,6,27,2025,17,19,4,0
14,Friday,6,27,2025,19,42,13,0
9,Friday,6,27,2025,12,45,5,1
7,Friday,6,27,2025,18,31,10,0
11,Friday,6,27,2025,18,44,10,0
1,Friday,6,27,2025,9,39,11,0
10,Friday,6,27,2025,15,19,16,1
5,Friday,6,27,2025,19,41,13,0
1,Friday,6,27,2025,13,44,8,0
4,Friday,6,27,2025,18,47,10,0
8,Friday,6,27,2025,7,33,4,0
13,Friday,6,27,2025,16,4,19,1
2,Friday,6,27,2025,10,20,15,0
11,Friday,6,27,2025,20,44,15,0
2,Friday,6,27,2025,20,48,15,0
12,Friday,6,27,2025,11,33,19,1
12,Friday,6,27,2025,18,9,10,1
11,Friday,6,27,2025,17,51,4,0
9,Friday,6,27,2025,7,24,4,0
11,Friday,6,27,2025,9,18,11,1
4,Friday,6,27,2025,14,6,11,0
8,Friday,6,27,2025,15,32,16,0
12,Friday,6,27,2025,11,14,19,1
3,Friday,6,27,2025,18,33,10,0
7,Friday,6,27,2025,15,40,16,1
4,Friday,6,27,2025,10,11,15,1
2,Friday,6,27,2025,18,25,10,0
7,Friday,6,27,2025,9,29,11,1
8,Friday,6,27,2025,18,48,10,0
14,Friday,6,27,2025,15,25,16,1
1,Friday,6,27,2025,17,8,4,0
9,Friday,6,27,2025,13,2,8,1
14,Friday,6,27,2025,20,12,15,0
1,Friday,6,27,2025,19,40,13,0
11,Friday,6,27,2025,10,52,15,1
12,Friday,6,27,2025,13,12,8,1
6,Friday,6,27,2025,7,34,4,0
6,Friday,6,27,2025,17,52,4,0
10,Friday,6,27,2025,15,34,16,1
5,Friday,6,27,2025,20,11,15,0
6,Friday,6,27,2025,20,33,15,0
9,Friday,6,27,2025,14,45,11,1
7,Friday,6,27,2025,16,15,19,0
5,Friday,6,27,2025,10,0,11,0
13,Friday,6,27,2025,12,34,5,0
4,Friday,6,27,2025,16,48,19,0
7,Friday,6,27,2025,13,39,8,1
8,Friday,6,27,2025,11,11,19,0
14,Friday,6,27,2025,17,28,4,1
7,Friday,6,27,2025,11,47,19,1
5,Friday,6,27,2025,7,38,4,0
7,Friday,6,27,2025,14,40,11,1
9,Friday,6,27,2025,13,49,8,1
14,Friday,6,27,2025,10,56,15,1
1,Friday,6,27,2025,15,56,16,0
11,Friday,6,27,2025,20,40,15,0
7,Friday,6,27,2025,14,52,11,1
1,Friday,6,27,2025,18,6,10,0
7,Friday,6,27,2025,15,8,16,1
10,Friday,6,27,2025,12,52,5,0
9,Friday,6,27,2025,11,2,19,1
2,Friday,6,27,2025,7,38,4,0
6,Friday,6,27,2025,14,50,11,0
4,Friday,6,27,2025,14,48,11,0
3,Friday,6,27,2025,20,38,15,0
1,Friday,6,27,2025,10,11,15,0
6,Friday,6,27,2025,10,17,15,0
6,Friday,6,27,2025,20,13,15,0
6,Friday,6,27,2025,18,40,10,0
1,Friday,6,27,2025,11,11,19,0
9,Friday,6,27,2025,8,20,8,1
4,Friday,6,27,2025,11,1,19,1
13,Friday,6,27,2025,7,54,4,0
9,Friday,6,27,2025,8,16,8,1
12,Friday,6,27,2025,12,35,5,1
3,Friday,6,27,2025,20,32,15,0
1,Friday,6,27,2025,13,37,8,0
2,Friday,6,27,2025,18,43,10,0
13,Friday,6,27,2025,15,13,16,1
5,Friday,6,27,2025,7,16,4,0
5,Friday,6,27,2025,13,14,8,0
5,Friday,6,27,2025,15,16,16,0
4,Friday,6,27,2025,7,20,4,1
14,Friday,6,27,2025,9,39,11,1
11,Friday,6,27,2025,10,53,15,1
4,Friday,6,27,2025,18,17,10,0
14,Friday,6,27,2025,9,22,11,1
4,Friday,6,27,2025,8,17,8,1
11,Friday,6,27,2025,19,56,13,0
5,Friday,6,27,2025,10,39,15,0
6,Friday,6,27,2025,14,41,11,0
10,Friday,6,27,2025,17,52,4,0
8,Friday,6,27,2025,7,19,4,0
4,Friday,6,27,2025,9,32,11,1
1,Friday,6,27,2025,15,5,16,0
2,Friday,6,27,2025,12,46,5,0
6,Friday,6,27,2025,13,44,8,0
8,Friday,6,27,2025,20,26,15,0
2,Friday,6,27,2025,17,32,4,0
8,Friday,6,27,2025,18,46,10,0
2,Friday,6,27,2025,9,1,11,0
3,Friday,6,27,2025,9,26,11,0
1,Friday,6,27,2025,12,56,5,0
3,Friday,6,27,2025,7,15,4,0
1,Friday,6,27,2025,7,52,4,0
14,Friday,6,27,2025,17,41,4,1
7,Friday,6,27,2025,8,26,8,1
10,Friday,6,27,2025,13,39,8,1
2,Friday,6,27,2025,8,5,8,0
11,Friday,6,27,2025,8,7,8,1
6,Friday,6,27,2025,12,32,5,0
1,Friday,6,27,2025,15,11,16,0
3,Friday,6,27,2025,17,2,4,0
14,Friday,6,27,2025,16,25,19,1
2,Friday,6,27,2025,13,32,8,0
14,Friday,6,27,2025,17,14,4,1
11,Friday,6,27,2025,7,43,4,1
6,Friday,6,27,2025,14,59,11,0
6,Friday,6,27,2025,12,38,5,0
13,Friday,6,27,2025,11,21,19,1
2,Friday,6,27,2025,17,39,4,0
12,Friday,6,27,2025,12,1,5,1
11,Friday,6,27,2025,16,35,19,0
1,Friday,6,27,2025,13,53,8,0
4,Friday,6,27,2025,17,48,4,0
4,Friday,6,27,2025,13,53,8,0
1,Friday,6,27,2025,17,55,4,0
9,Friday,6,27,2025,15,22,16,1
10,Friday,6,27,2025,20,20,15,0
14,Friday,6,27,2025,18,17,10,0
13,Friday,6,27,2025,16,20,19,1
14,Friday,6,27,2025,17,39,4,1
1,Friday,6,27,2025,12,53,5,0
8,Friday,6,27,2025,15,42,16,0
10,Friday,6,27,2025,19,29,13,0
9,Friday,6,27,2025,7,51,4,0
2,Friday,6,27,2025,7,29,4,0
