SpotID,Month,Day,Year,Hour,Minute,Second,Status
spot_4,6,Tuesday,2025,7,49,44,0
spot_5,6,Tuesday,2025,7,49,44,1
spot_6,6,Tuesday,2025,7,49,44,0
spot_7,6,Tuesday,2025,7,49,44,1
spot_8,6,Tuesday,2025,7,49,44,0
spot_9,6,Tuesday,2025,7,49,44,1
spot_10,6,Tuesday,2025,7,49,44,0
spot_11,6,Tuesday,2025,7,49,44,1
spot_12,6,Tuesday,2025,7,49,44,1
spot_13,6,Tuesday,2025,7,49,44,0
spot_14,6,Tuesday,2025,7,49,44,1
spot_1,6,Tuesday,2025,7,50,44,0
spot_2,6,Tuesday,2025,7,50,44,0
spot_3,6,Tuesday,2025,7,50,44,0
spot_4,6,Tuesday,2025,7,50,44,0
spot_5,6,Tuesday,2025,7,50,44,1
spot_6,6,Tuesday,2025,7,50,44,0
spot_7,6,Tuesday,2025,7,50,44,1
spot_8,6,Tuesday,2025,7,50,44,0
spot_9,6,Tuesday,2025,7,50,44,1
spot_10,6,Tuesday,2025,7,50,44,1
spot_11,6,Tuesday,2025,7,50,44,0
spot_12,6,Tuesday,2025,7,50,44,1
spot_13,6,Tuesday,2025,7,50,44,0
spot_14,6,Tuesday,2025,7,50,44,1
spot_1,6,Tuesday,2025,7,51,44,0
spot_2,6,Tuesday,2025,7,51,44,0
spot_3,6,Tuesday,2025,7,51,44,0
spot_4,6,Tuesday,2025,7,51,44,0
spot_5,6,Tuesday,2025,7,51,44,1
spot_6,6,Tuesday,2025,7,51,44,0
spot_7,6,Tuesday,2025,7,51,44,1
spot_8,6,Tuesday,2025,7,51,44,0
spot_9,6,Tuesday,2025,7,51,44,1
spot_10,6,Tuesday,2025,7,51,44,0
spot_11,6,Tuesday,2025,7,51,44,0
spot_12,6,Tuesday,2025,7,51,44,1
spot_13,6,Tuesday,2025,7,51,44,0
spot_14,6,Tuesday,2025,7,51,44,1
spot_1,6,Tuesday,2025,7,52,44,0
spot_2,6,Tuesday,2025,7,52,44,0
spot_3,6,Tuesday,2025,7,52,44,0
spot_4,6,Tuesday,2025,7,52,44,0
spot_5,6,Tuesday,2025,7,52,44,1
spot_6,6,Tuesday,2025,7,52,44,0
spot_7,6,Tuesday,2025,7,52,44,0
spot_8,6,Tuesday,2025,7,52,44,0
spot_9,6,Tuesday,2025,7,52,44,1
spot_10,6,Tuesday,2025,7,52,44,1
spot_11,6,Tuesday,2025,7,52,44,1
spot_12,6,Tuesday,2025,7,52,44,0
spot_13,6,Tuesday,2025,7,52,44,0
spot_14,6,Tuesday,2025,7,52,44,1
spot_1,6,Tuesday,2025,7,53,44,0
spot_2,6,Tuesday,2025,7,53,44,0
spot_3,6,Tuesday,2025,7,53,44,0
spot_4,6,Tuesday,2025,7,53,44,0
spot_5,6,Tuesday,2025,7,53,44,1
spot_6,6,Tuesday,2025,7,53,44,0
spot_7,6,Tuesday,2025,7,53,44,0
spot_8,6,Tuesday,2025,7,53,44,0
spot_9,6,Tuesday,2025,7,53,44,1
spot_10,6,Tuesday,2025,7,53,44,1
spot_11,6,Tuesday,2025,7,53,44,0
spot_12,6,Tuesday,2025,7,53,44,0
spot_13,6,Tuesday,2025,7,53,44,0
spot_14,6,Tuesday,2025,7,53,44,1
spot_1,6,Tuesday,2025,7,54,44,0
spot_2,6,Tuesday,2025,7,54,44,0
spot_3,6,Tuesday,2025,7,54,44,0
spot_4,6,Tuesday,2025,7,54,44,0
